titulo;descricao;preco;area util por m²;quartos;banheiros;vagas garagem;rua/avenida;custo condominio;iptu;bairro;cidade;estado;cep;ar condicionado;mobiliado;elevador;churrasqueira;salão de festas;quarto de serviço;segurança 24h;armários no quarto;condomínio fechado;piscina;armários na cozinha;varanda;área de serviço;academia;portaria;permitido animais
apartamento a venda;"Apartamento todo no porcelanato, na cozinha armário planejado todo com mdf ultra residente a água, as portas superior todo em vidro reflecta, bancada da pia da cozinha e da área de serviço em silestone branco ( nao mancha), fogão cooktop e forno a gás de embutir, ambos Brastemp, revestimento da parede da cozinha RM porcelanato 1x1.
Quarto solteiro com guarda-roupa planejado, suíte com guarda-roupa planejado e porta com vidro reflecta.
tem varanda e 1 banheiro social.
1 vaga garagem 
condomínio com 2 área de churrasqueira, 2 piscina, parquinho, circuito de monitoramento com câmeras e portaria 24h";280.0;60.0;2;2;1;Avenida Raymundo Sá Barreto;190.0;Sem informacao;Jardim Savóia;Ilhéus;BA;45658250;0;0;0;0;1;0;1;1;1;1;1;0;1;0;0;0
Vendo Apartamento no Soberano Residence;"Código do anúncio: 12895

Corretor: Fabricio Ladeia
CRECI.: 31.564
Contato: 


Vendo Apartamento com 2/4 Vista Mar

01 Suite
01 Quarto 
02 Banheiros.
01 Sala com beleza e conforto.
01 Varanda 
01 Vaga de Garagem

Obs.:""O valor da compra e venda acima mencionado poderá sofrer alteração por eventuais correções realizadas pelo proprietário(a) em virtude do tempo, 
bem como também os valores das Taxas Condominiais mensais poderão sofrer reajustes conforme Regulamento Condominial e o Imposto Predial e Territorial Urbano (IPTU) conforme Prefeitura Municipal. 
Em caso de dúvidas, favor entrar em contato.""";600000.0;63.0;2;2;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;0;1;1;1;0;1;0;0;1;0;1;0;1;0;0
ILHÉUS - APARTAMENTO FRENTE MAR 2 DORMITÓRIOS, SENDO 1 SUÍTE - VENDA - INFINITY PARK RESID;"Código do anúncio: 4769

Apartamento frente mar com 2 dormitórios, sendo 1 suíte à venda no Infinity Park Residence. 

Como o próprio nome sugere, traz infinitas possibilidades para o futuro morador, apartamento com 50,00 m² em um empreendimento moderno. Rooftop com vista para o mar e uma incrível área de lazer com:

 Churrasqueira com terraço descoberto
 Espaço Gourmet
 Lounge coberto
 Piscina com prainha
 Espaço Spa + Hidromassagem
 Espaço Sauna
 Sala de massagens
 Espaço Fitness Interno & Externo
 Lounge Bar com terraço descoberto

Além de outras conveniências no pavimento térreo:
 Coworking
 Bicicletário
 Espaço Pet
 Área exclusiva para Delivery
 Lavanderia Compartilhada
 Marketplace (loja de conveniências
exclusiva para os condôminos).

- Para maiores informações, agende a sua visita ou fale com o corretor responsável.

 Imobiliária Atlântico Sul
 Evandro Zanonatto
 Lorhanne VelozoIMÓVEL";450000.0;50.0;2;1;1;Rua Praia Dourada;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655764;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0
ILHÉUS - APARTAMENTO 2 DORMITÓRIOS - VENDA - INFINITY PARK RESIDENCE;"Código do anúncio: 4453

O Infinity Park Residence tem o perfil de imóvel para primeira moradia ou investimento, conta com um projeto moderno, design arrojado.

Como o próprio nome sugere, traz infinitas possibilidades para o futuro morador, apartamento com 49,98m² em um empreendimento moderno. Rooftop com vista para o mar e uma incrível área de lazer com:

 Churrasqueira com terraço descoberto
 Espaço Gourmet
 Lounge coberto
 Piscina com prainha
 Espaço Spa + Hidromassagem
 Espaço Sauna
 Sala de massagens
 Espaço Fitness Interno & Externo
 Lounge Bar com terraço descoberto

Além de outras conveniências no pavimento térreo:
 Coworking
 Bicicletário
 Espaço Pet
 Área exclusiva para Delivery
 Lavanderia Compartilhada
 Marketplace (loja de conveniências
exclusiva para os condôminos).

- Para maiores informações, agende a sua visita ou fale com o corretor responsável.

 Imobiliária Atlântico Sul
 Evandro ZanonattoIMÓVEL";490000.0;50.0;2;1;Não Tem;Rua Praia Dourada;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655764;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0
Vendo apt mobiliado em frente à praia dos milionários em Ilhéus-bahia.;Apt mobiliado com dois quartos sendo um suíte e o outro conversível para suíte, Varanda gourmet com churrasqueira.Situado à Av. Tancredo Neves 2056, em frente à praia dos milionários, Ilhéus-Bahia.;360000.0;85.0;2;2;1;Avenida Tancredo Neves;480.0;700.0;Nossa Senhora da Vitória;Ilhéus;BA;45655650;1;1;1;1;0;0;1;1;1;0;1;1;1;0;0;1
Apartamento com 3 quartos com vista mar à venda, Soberano, Praia dos Milionários, Ilhéus,;"Código do anúncio: AP0056_SJRLZ

Seu refúgio à beira-mar espera por você no coração da Zona Sul de Ilhéus, na prestigiada Praia dos Milionários. Apresentamos um apartamento de tirar o fôlego, situado no 9º andar, oferecendo uma vista deslumbrante do mar em toda a sua magnitude.

Este elegante apartamento dispõe de 3 quartos, sendo 1 suíte, proporcionando o espaço e o conforto que você merece. E com duas vagas de garagem, estacionar nunca foi tão fácil.

Imagine-se vivendo em um local onde as comodidades estão ao seu alcance. Com supermercados, farmácias e uma variedade de opções culinárias a poucos passos de distância, a conveniência é incomparável.

Mas não é só isso! Este empreendimento oferece um estilo de vida completo. Desfrute de momentos memoráveis na área gourmet, mantenha-se em forma na academia de última geração, ou desafie seus amigos para uma partida emocionante no salão de jogos. Aqui, o lazer é levado a sério.

E o melhor de tudo? Este paraíso está previsto para estar pronto em janeiro de 2025, então você pode garantir seu lugar neste oásis à beira-mar antes que seja tarde demais.

Venha fazer parte deste sonho. Agende sua visita hoje mesmo e prepare-se para uma vida de luxo e tranquilidade em Ilhéus.";1000000.0;97.0;3;2;2;Avenida Tancredo Neves;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655650;0;0;1;1;1;0;1;0;0;1;0;1;0;0;0;1
Cobertura à venda, North Boulevard, Jardim Savóia, Ilhéus, BA;"Código do anúncio: CO0002_SJRLZ

Venha morar na cobertura de um dos melhores condomínios clube de Ilhéus.

O Condomínio North Boulevard esta situado em uma dos bairros mais seguros e tranquilos de Ilhéus, o mesmo fica localizado a poucos metros de distancia do Batalhão da policia militar e corpo de bombeiros, fica localizado em um dos acessos as cidades de Itacaré e Marau.

Aproveite essa oportunidade e realize seu sonho!";1200000.0;150.0;3;3;2;Avenida José Luís da Fonseca - até 968/969;880.0;130.0;Jardim Savóia;Ilhéus;BA;45658260;0;0;1;1;1;0;1;0;0;1;1;1;0;0;0;1
Vendo apartamento de 2 quartos em Ilha di Capri , Ilhéus BA;"Código do anúncio: 125

Vendo Ilha di Capri com porteira fechada em Ilhéus - ba

R$ 980.000,00

Você encontrou o apartamento mobiliado dos seus sonhos!!

2/4 quartos sendo 1 suíte
2 Banheiros
Sala de estar
Cozinha
Área de serviço
Vaga de Garagem

Agende sua visita em:

Maiores informações
Cíntia Lemos Creci n° 17828 - / ambos whattsap 
Antônio Paim Creci n° 17832 - /(WhatsApp) 
Brysia Alves Creci n° 31503 - (whatsapp) 
Ou fale com um dos nossos consultores clicando aqui
 https://wa.me/ 
 Enviado por Lemos e Paim";980000.0;120.0;2;2;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Apartamento para venda tem 70 metros quadrados com 2 quartos em Jardim Atlântico - Ilhéus;"Código do anúncio: 182UB07

Vendo apartamento amplo na praia do Sul em Ilhéus 
Com 2 quartos sendo 1 suíte
Sala ampla com varanda 
Armários mo quarto, banheiros e cozinha 
Área de serviço 
1 vaga de garagem 
Prédio com portão eletrônico 
Pode ser financiado 

Valor:R$ 350.000,00 

Soraia Sodré 
Corretora de imóveis 
Creci: 9910
Tel: (WhatsApp)";350000.0;70.0;2;2;1;Avenida Tancredo Neves;0.0;0.0;Jardim Atlântico;Ilhéus;BA;45655000;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1
Ilhéus - Apartamento 2 quartos, sendo 1 suíte - Venda - Blue Park Residence;"Código do anúncio: 4767

Apartamento vista mar à venda no Blue Park Residence, Zona Sul de Ilhéus!

Este apartamento possui 70 m², frente mar, com espaço bem distribuído, móveis planejados na cozinha, sala, área de serviço, quartos e banheiros. Conta com as seguintes características:

- 2 quartos, sendo 1 suíte;
- 1 banheiro social;
- Sala de estar/jantar;
- Cozinha integrada com área de serviço;
- Varanda.

Área social dispõe de:

- Áreas comuns decoradas;
- 02 elevadores;
- Playground;
- Salão de festas;
- Espaço Gourmet;
- Espaço fitness;
- Varanda gourmet;
- Piscina adulto e infantil;
- Vigilância 24 horas;
- Garagens automatizadas (1 vaga por apartamento);
- Lavanderia.

Desfrute de um estilo de vida tranquilo e confortável, com a privacidade e segurança de um condomínio fechado. A vista para o mar acrescenta um toque especial a essa oportunidade única.

Agende sua visita hoje mesmo e explore todas as possibilidades deste apartamento!

 Ana Haeffner
 Evandro Zanonatto
 Imobiliária Atlântico SulIMÓVEL";630000.0;70.0;2;2;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;1;0;1;0;1;0;1;0;0;1;0;1;1;1;0;0
FLATS A 50 METROS DA PRAIA NO ACÚIPE;"Código do anúncio: 12842

CORRETORA: ALESANDRA OLEARI
CRECI:26.375
CONTATO: 

FLATS A 50 METROS DA PRAIA NO ACÚIPE

O IMÓVEL CONTA COM:

01 QUARTO
COPA/COZINHA
01 BANHEIRO

OS FLATS CONTAM COM ESTRUTURA DE PISCINA E ÁREA GOURMET

OBS.: ''O VALOR DA COMPRA E VENDA ACIMA MENCIONADO PODERÁ SOFRER ALTERAÇÃO POR EVENTUAIS CORREÇÕES REALIZADAS PELO PROPRIETÁRIO(A) EM VIRTUDE DO TEMPO,
BEM COMO TAMBÉM OS VALORES DAS TAXAS CONDOMINIAIS MENSAIS PODERÃO SOFRER REAJUSTES CONFORME REGULAMENTO CONDOMINIAL 
E O IMPOSTO PREDIAL E TERRITORIAL URBANO (IPTU) CONFORME PREFEITURA MUNICIPAL.
EM CASO DE DÚVIDAS, POR FAVOR ENTRAR EM CONTATO.''";100000.0;19.0;1;1;Não Tem;Avenida Tancredo Neves;0.0;0.0;Jardim Atlântico;Ilhéus;BA;45655000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FLATS A 50 METROS DA PRAIA NO ACÚIPE;"Código do anúncio: 12843

ALESANDRA OLEARI
CRECI:26.375
CONTATO: 

FLATS A 50 METROS DA PRAIA NO ACÚIPE

O IMÓVEL CONTA COM:

01 QUARTO
COPA/COZINHA
01 BANHEIRO

OS FLATS CONTAM COM ESTRUTURA DE PISCINA E ÁREA GOURMET

OBS.: ''O VALOR DA COMPRA E VENDA ACIMA MENCIONADO PODERÁ SOFRER ALTERAÇÃO POR EVENTUAIS CORREÇÕES REALIZADAS PELO PROPRIETÁRIO(A) EM VIRTUDE DO TEMPO,
BEM COMO TAMBÉM OS VALORES DAS TAXAS CONDOMINIAIS MENSAIS PODERÃO SOFRER REAJUSTES CONFORME REGULAMENTO CONDOMINIAL 
E O IMPOSTO PREDIAL E TERRITORIAL URBANO (IPTU) CONFORME PREFEITURA MUNICIPAL.
EM CASO DE DÚVIDAS, POR FAVOR ENTRAR EM CONTATO.''";100000.0;19.0;1;1;Não Tem;Avenida Tancredo Neves;0.0;0.0;Jardim Atlântico;Ilhéus;BA;45655000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
APARTAMENTO VISTA MAR ILHÉUS - BAHIA;"Código do anúncio: 121

Descrição do apartamento à venda em Ilhéus, Bahia, na praia dos Milionários:

- Vista para o mar: O apartamento oferece uma bela vista para o mar, permitindo que você desfrute de momentos relaxantes e aproveite a beleza natural da região.

- Projeto de Iluminação concluído: O apartamento possui um projeto de iluminação moderno e bem planejado, proporcionando ambientes aconchegantes e funcionais.

- Armários embutidos: Os armários embutidos oferecem praticidade e organização para o seu dia a dia, além de otimizarem o espaço disponível no apartamento.

- Aquecedor de água: Com o aquecedor de água, você terá conforto e comodidade ao tomar banho, garantindo água quente sempre que desejar.

- Box elegante: O banheiro conta com um box elegante, que traz um toque de sofisticação ao ambiente e facilita o uso do chuveiro, evitando que a água se espalhe pelo banheiro. 
 Enviado por Lemos e Paim";1400000.0;106.0;3;2;2;Rua dos Canários;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655748;0;1;1;1;1;0;1;0;0;1;1;1;1;1;0;0
Apartamento 3/4 em North Boulevard - Melhor Bairro do Norte, Ilhéus/BA;"Código do anúncio: 5803... ver número4-24

Apartamento 3/4 em North Boulevard - Melhor Bairro do Norte, Ilhéus/BA

*Descrição do Imóvel:*
- Lindo apartamento de 74,15 m2, com uma posição nascente que oferece vistas incríveis para o mar, rio e mata.
- O apartamento é bem iluminado e possui um fino acabamento.
- Composto por 3 quartos, sendo 1 suíte, varanda coberta, sala de estar, e 1 banheiro social.
- Área de serviço com bancada e cuba, além de uma cozinha com planejados, bancada e cuba inox.
- Todos os quartos possuem instalações para ar condicionado.
- Os banheiros contam com bancada em pedra, gabinete em MDF, box de vidro e chuveiro elétrico.
- O apartamento também possui vaga de garagem e iluminação com plafons de embutir.

*Características do Condomínio:*
- Valor do condomínio: R$ 440,00*
- Oferece uma ampla variedade de comodidades, incluindo piscina adulto e infantil, playground, área gourmet com churrasqueira, academia com equipamentos novos, salão de festas, salão de jogos, sauna, quadra poliesportiva, vídeo monitoramento e portaria 24 horas.
- O condomínio possui 03 elevadores para maior comodidade dos moradores.

*OPORTUNIDADE:*


Este é um excelente investimento em um dos melhores bairros de Ilhéus, com uma gama de comodidades e uma vista deslumbrante. Não perca essa oportunidade! Entre em contato para mais informações ou para agendar uma visita.

*Nota: O valor do condomínio está sujeito a alterações.";460000.0;74.0;3;2;Sem informacao;Avenida José Luís da Fonseca - até 968/969;0.0;0.0;Jardim Savóia;Ilhéus;BA;45658260;1;0;1;1;0;0;1;0;0;1;0;1;0;0;0;1
Linda Cobertura Vista Mar Mobiliada;"Código do anúncio: 12860

Corretora: Luciana Daneu 
CRECI.:22.423
Contato: 

Linda Cobertura Vista Mar Mobiliada

 02 Suites
01 Banheiro Social
01 Lavabo
01 Sala
01 Varanda Gourmet
01 Cozinha
02 Varandas 
01 Closet
02 Vagas

Vista linda para Baia do Pontal

Obs.: ""O valor da compra e venda acima mencionado poderá sofrer alteração por eventuais correções realizadas pelo proprietário(a) em virtude do tempo, 
bem como também os valores das Taxas Condominiais mensais poderão sofrer reajustes conforme Regulamento Condominial e o Imposto Predial e Territorial Urbano (IPTU) conforme Prefeitura Municipal. 
Em caso de dúvidas, favor entrar em contato.""";1250000.0;140.0;2;3;2;Avenida Lomanto Júnior - de 1066/1067 ao fim;0.0;0.0;Pontal;Ilhéus;BA;45654001;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0
Apartamento à Venda de 2/4 sendo 1 suíte vista mar - Zona Sul;"Código do anúncio: AP0058_SJRLZ

Apartamento à Venda de 2/4 sendo 1 suíte vista mar - Zona Sul";380000.0;75.0;2;1;1;Avenida Tancredo Neves;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655650;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1
Apartamento no condomínio sol e mar conservado tem conversa no valor;"?1° andar
? Quadra B Bloco 1
?Quitado com documentos em mãos 
? Sem mobília 
? Apartamento conservado e pintado";90000.0;Sem informacao;Sem informacao;1;Sem informacao;Rua Sol e Mar;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vende-se Apartamento no Vog em Ilhéus;"Vende-se apartamento com dois dormitórios, sendo uma suíte, banheiro social, sala, cozinha, área de serviço, vaga de garagem e área de lazer completo, na Praia dos Milionários. Para mais informações, entre em contato: 73 ... ver número
Suzane Marques
Creci 24.127";290000.0;Sem informacao;Sem informacao;Sem informacao;Sem informacao;Rua Aroeira;Sem informacao;Sem informacao;Nossa Senhora da Vitória;Ilhéus;BA;45655820;0;0;0;0;1;0;1;0;1;1;0;0;1;1;1;1
Vende-se apartamento no Pontal- Ilhéus;"Vende-se apartamento com duas suítes, lavabo, sala, cozinha, área de serviço, vaga de garagem coberta, piscina e churrasqueira. 
Para mais informações entre em contato: 
Whatsapp:
Suzane Marques 
Corretora de imóveis 
CRECI 24.127";400000.0;Sem informacao;Sem informacao;Sem informacao;Sem informacao;Avenida Lomanto Júnior - até 1064/1065;Sem informacao;Sem informacao;Pontal;Ilhéus;BA;45654000;0;0;1;0;0;0;1;0;1;1;1;1;1;0;1;1
Vendo apartamento;"Apartamento quitado condomínio São Jorge 
2 quartos 
1 banheiro 
Sala 
Cozinha 
Área de serviço";240000.0;Sem informacao;Sem informacao;1;Sem informacao;Avenida Oduvaldo Evaristo Bacelar;Sem informacao;Sem informacao;São Francisco;Ilhéus;BA;45655145;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0
Vendo Apartamento zona sul, Ilhéus - Ba;"? VENDO Apartamento no Cond. Beach Class, localização privilegiada em Ilhéus. 

?Especificações:

01 dormitório
Sala
Cozinha
Banheiro
Varanda
Piscina
Salão de festas
Salão de jogos 
Churrasqueira
Portaria

Para mais informações entre em contato:


Emilly Ribeiro 
Creci 31.602";320000.0;Sem informacao;Sem informacao;1;Sem informacao;Avenida Lomanto Júnior - até 1064/1065;Sem informacao;Sem informacao;Pontal;Ilhéus;BA;45654000;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1
Excelente Apartamento com 2/4 no 4°andar;"Código do anúncio: 12839

Corretora: Drucilla Sousa
CRECI.:29.123
Contato: 

Excelente Apartamento com 2/4 no 4°andar

Com toda infraestrutura de lazer e comodidade para os moradores.
O projeto proporciona vistas incríveis para todos os apartamentos, o que abrirá novos horizontes e possibilitará momentos especiais ao lado de quem você ama. O prédio mais alto da cidade e em frente ao mar!
Unidade Frente total com vista mar

01 Quarto
01 Suíte
01 Banheiro social
Cozinha

Condomínio com toda infra estrutura 
Academia completa
Churrasqueira
Áreas comuns decoradas
Brinquedoteca
Espaço Gourmet
Lounge Aberto
Piscina
Salão de jogos
Varanda Gourmet

Obs.: ""O valor da compra e venda acima mencionado poderá sofrer alteração por eventuais correções realizadas pelo proprietário(a) em virtude do tempo, 
bem como também os valores das Taxas Condominiais mensais poderão sofrer reajustes conforme Regulamento Condominial e o Imposto Predial e Territorial Urbano (IPTU) conforme Prefeitura Municipal. 
Em caso de dúvidas, favor entrar em contato.""";680000.0;82.0;2;2;Não Tem;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
